,en,es
azzy_flavor_1,">I heard lots of stories of the guy who owns this resort(...)
Apparently he's gone adventuring a tad lot in the past.
>Not suprised for how much it costs to upkeep this place(...)
It takes the entire queen's wealth and much more!
",">He oido muchas historias sobre el tipo que lleva el complejo(...)
Aparentemente solía irse de aventura con frecuencia en el pasado.
>No me sorprende teniendo en cuenta el costo de mantenimiento de este sitio.(...)
Requiere la entera riqueza de la reina misma y mucho más!"
azzy_flavor_2,">I wonder how  things are up there with the Wasps?(...)
I left that place [wave amp=25.0 freq=5.0 connected=1]loooong[/wave] ago but I 'ear some stuff recently.
>Maybe it was for the best. I enjoy life 'ere in the settlement anyways.
Even met my partner thanks to it. So bless Venus and allat.
>Oh sorry, there goes me rambling again...(...)
What'cha need, (name)?",">Me pregunto que estaran haciendo las Avispas en el norte?(...)
Deje ese lugar hace [wave amp=25.0 freq=5.0 connected=1]baaastante[/wave] rato, pero he oido cosas recientemente.
>Creo que fue lo mejor. Disfruto la vida aquí en el asentamiento.
Incluso conoci a mi pareja aqui. Así que, gracias a Venus y demas charla.
>Oops, perdona, se me ha ido el hilo otra vez....(...)
¿Que necesitas, (name)?"
azzy_flavor_3,">Have you seen Echo?(...)
I need 'em to go pick more supplies.(...)
>Don't fear them, they a good moth.(...)
I brought 'em to the settlement to relax for a bit.
>But once in a moon they seem unable to do so.
>[color=grey][wave amp=25.0 freq=5.0 connected=1]sigh[/wave][/color]. I really appreciate them trying.(...)
Hard times, ya know?",">¿Has visto a Echo?(...)
Ocupo que se encargen de unos mandados(...)
>No les temas mucho, son una polilla amable.(...)
Les traje al asentamiento para relajarse por un tiempo.
>Pero en ocasion, algo de estres se llevan.
>[color=grey][wave amp=25.0 freq=5.0 connected=1]suspiro[/wave][/color] . Aprecio que lo intenten.(...)
Tiempos dificiles, ¿sabes?"
kut_flavor_0,">No one in this town has proved more expert taste than the aphids.
They are the best customers I ever had.
>They even gather around to see my craft.(...)
[wave amp=25.0 freq=5.0 connected=1]Truly an inspiring environment.[/wave]",">Nadie en este pueblo ha provado tener un sentido del gusto tan exquisito como los áfidos.
Los mejores clientes que uno puede pedir.
>Incluso se reunen para verme crear arte.(...)
[wave amp=25.0 freq=5.0 connected=1]Un ambiente asi me inspira.[/wave]"
kut_flavor_1,">Mmpfh...(...)
Should I try spice it up(...) or(...) should I make it sickly sweet.
>...(...)Oh, you're...(...[0.7]) (name)?(...)
Have you come to see a culinary expert in action?",">Mmpfh...(...)
¿Deberia intentar añadirle picor(...) o hacerlo amargamente dulce?.
>...(...)Oh, tu eres...(...[0.7]) (name)?(...)
¿Has venido a ver a un maestro culinario en acción?"
kut_flavor_2,">...What would I recommend? (...)
That is up to your little one.
>They all have an unique afinity to a particular flavour.
Some more...(...) different than others.
>Sour(...), Sweet(...), Salty(...) and Bitter.(...)
All depends on the ingredients you use.",">¿Que es lo que recomendaria?(...)
Eso lo dicta tu pequeñin.
>Todos tiene una afinidad a un sabor particular.
Algunos más...(...) diferentes que otros.
>Agrio(...), Dulce(...), Salado(...) y Amargo.(...)
Todo depende en los ingredientes que uses."
kut_flavor_3,">Don't keep me waiting and bring me some ingredients.
Go on!",">No me dejes esperando y traéme ingredientes.
Vamos!"
crystal_flavor_0,>Fi,>Fi
crystal_flavor_1,>Fi Fi,>Fi Fi
crystal_flavor_2,>[wave amp=25.0 freq=5.0 connected=1][color='grey']squeak,>[wave amp=25.0 freq=5.0 connected=1][color='grey']chi chi
crystal_flavor_3,">Fi fi(...)
Fi?",">Fi fi(...)
Fi?"
echo_flavor_0,">...(...)What do you want?(...)
Don't I look busy to you?
>Are you lost or what?
>...(...[0.7])Oh bother(...), you really are.
>I am pretty sure they gave you a [color=red]Help[/color] guide(...)
It would be a good idea if you read it, don't you think.",">...(...)¿Que es lo que buscas?(...)
¿No te parezco ocupade?
>¿Estas perdid(o/a) o qué?
>...(...[0.7])Oh(...), lo estas, no es cierto.
>Estoy segure que te han dado una guía de [color=red]ayuda[/color](...)
Sería una buena idea leerlo ahora, no te parece."
echo_flavor_1,">No.(...) You cannot take the aphids outside.
>...(...)Yes. [i]You[/i] can go outside. I'm not your mother.",">No. No puedes llevarte a los áfidos afuera.
>...(...)Si, [i]tu[/i] puedes salir, no soy tu madre."
echo_flavor_2,">[font_size=20]...Did I really have to join her for this...[/font_size]
>Erhm, hello?(...)
Could you mind your own business?",">[font_size=20]...De verdad tenia que formar parte de esto por ella...[/font_size]
>Huh, ¿hola?(...)
¿Te importa?"
echo_flavor_3,">Have you ever seen the Giant's Lair?(...)
Me neither(...), but I heard exciting things.
>A pretty fun adventure, in and out. (...)Mostly in.(...)
Out was the hard part.",">¿Alguna vez has visto la Tierra de los Gigantes?(...)
Yo tampoco.(...) Pero he escuchado cosas sorprendentes.
>Una aventura de locos, de ida y vuelta. (...)Mayormente ida.(...)
Vuelta era la parte dificíl."
echo_flavor_4,">Don't cause trouble. I am watching you.(...)
All four of my eyes are.",">No causes problemas, te estoy vigilando.(...)
Mis cuatro ojos lo hacen."
echo_flavor_5,">They hired me to guard the resort 
but all I do is watch for these [shake rate=20.0 level=6 connected=0]dumb[/shake] boxes.
>There is no way anything bigger than a seedling is gonna come knocking the door.(...)
But I sure wished...",">Me contrataron para hacer de guardia en el complejo,
pero todo lo que hago es solo mirar estas [shake rate=20.0 level=6 connected=0]estupidas[/shake] cajas.
>No hay manera que cualquier cosa más grande que un áfido sea capaz
de venir a tocar la puerta.(...)
Solo puedo rezar..."
tanjy_flavor_0,">Whatcha looking at?
>Does my horn have something on it?(...)
Ough!
>Why are you giggling!",">¿Que miras?
>¿Mi cuerno tiene algo?(...)
Ough!
>¡Por qué te ries!"
tanjy_flavor_1,">I come from [wave amp=50.0 freq=5.0 connected=0]very faaaar away[/wave](...)
You can tell because I'm not like anyone else!
>I'm strong(...), fast(...), intelligent(...), and strong!",">Vengo de [wave amp=50.0 freq=5.0 connected=0]muuuuuy lejos[/wave](...)
Puedes notarlo porque no soy como los demas!
>Soy fuerte(...), veloz(...), intelligente(...) y fuerte!"
tanjy_flavor_2,">They said the hats would come today, but I don't see them!
How dare they!
>Until then, your aphids will be hatless(...)
Sad!",">Dijeron que los sombreros vendrían hoy, ¡pero no los veo!
¡Cómo se atreven!
>Hasta entonces, tus áfidos estan calvos.(...)
¡Que pena!"
job_easy_0,"I require the assistance of brave, intrepid aphids, to mow grass!
This tufts are invading my yard and I need them OUT.","Necesito la assistencia de intrepidos y valerosos áfidos, para cortar hierba!
Estos mates estan invadiendo mi jardín y los quiero FUERA."
job_easy_1,"Needing a few aphids for supply transportation.
Preferably, with five years of entry experience.","Necesito un par de áfidos para transporte de suministros.
Preferiblemente con cinco años de experiencia como practicante."
job_easy_2,"Doing some research in lesser bugs.
We need some with a basic understanding of commands.",WIP
job_easy_3,"Needing some advertising on the go!
No skills required, just a lot of enthusiasm!",WIP
job_easy_4,"Need a delivery aphid. Lots of packages.
And they need to be sent FAST.",WIP
job_easy_5,"Looking to rent an aphid for a children's class.
Please, no aggressive ones!",WIP
job_easy_6,"Need a distraction for no reason in particular.
I just need it to be quick, again, no reason in particular.",WIP
job_medium_0,"Requesting aphids for general therapy and support services.
Only particular need is for them to understand orders.",WIP
job_medium_1,"Local construction workers needing a hand for land renovation!
Sapling, grass and rock eaters welcome.",WIP
job_medium_2,"Having a problem with some unwanted guests!
Requesting some aphids that can slice the life out of this weeds.",WIP
job_medium_3,"We need a hand for berry transport.
We'll even give you a part of the supply as thanks! (Just don't tell the queen)",WIP
job_medium_4,"Getting lost is killing the economy over here.
We'll pay handsomly to a aphid guide who can help turists arrive safely.",WIP
job_medium_5,"The mines yearn for more workers.
All hands help, even the little ones!",WIP
job_hard_0,"Help Wanted! The theater requires actors, great and handsome actors!
Respond to this request if you think you have what I want.",WIP
job_hard_1,"Requesting assistance for bridge repair operation.
The stronger, the better.",WIP
job_hard_2,"Good day resort members, if one could bring one of their aphids for revision,
I would be thankful. Don't worry, they'll be fine.
Chompy doesn't bite.",WIP
job_hard_3,"Her majesty has requested to see one the aphids from the resort.
Bring one of great mind alike!",WIP
job_hard_4,"The chomp infestation is getting out of hands.
Requesting the strongest guards the settlement can send.",WIP
job_expert_0,"On a hunt for golden seedlings. Thus I need an aphid that is tougher than the toughies, 
smarter than the smarties, and sharper than the sharpies",WIP
job_master_0,"Our crops are getting wilted by deadlanders.
We plead for you to send one you see fit to handle such task.",WIP
job_master_1,"Adventuring deeper on unknown areas, and as the paths become more puzzling,
we need a companion who can wiggle us out of trouble.",WIP
